"","Year","MDACoverageAttempted","MDANumRounds","MDADrugs","MDADrugEfficacy","MDAYearsBetweenRounds","MDAStartYear","ProbGender","RatioAll","Ratio6_7","Ratio15AndOver","Prev_AntigenAll","Prev_Antigen6_7","Prev_Antigen15AndOver","AgEradicated","AgPrevUnder001pc","AgPrevUnder01pc","AgPrevUnder1pc","PrevalenceAll","Prevalence6_7","Eradicated","PrevalenceFagalii","PrevalenceIliili","PrevUnder001pc","PrevUnder01pc","PrevUnder1pc"
"59",2010,"0.55",7,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.42010618431502,NA,6.4372616803718,0.0230400771428571,0,0.0316013435714286,0,0,0,0,0.00358134878571429,0,0,0.0344707879285714,0.00339816655,0,0,1
"60",2010,"0.55",7,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.46485348337148,NA,6.45601047900369,0.0230776490625,0,0.03162520375,0,0,0,0,0.00357174078125,0,0,0.0343623435625,0.003430164171875,0,0,1
"61",2010,"0.65",2,"DA2+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00357833702970297,0,0,0.0335912079207921,0.00338090125742574,0,0,1
"62",2010,"0.65",2,"DA2+","Default",1,2018,"0.0012-0.00032",6.50130243458786,NA,6.4938762940527,0.0230916,0,0.0317159009090909,0,0,0,0,0.00356117281818182,0,0,0.0338976754545455,0.00348555979090909,0,0,1
"63",2010,"0.65",2,"DA2+","Default",1,2018,"0.0016-0.00035",6.53437411019618,NA,6.50866426361418,0.0229901211428571,0,0.0315066114285714,0,0,0,0,0.00354437291428571,0,0,0.0323655241142857,0.00338207008,0,0,1
"64",2010,"0.65",2,"DA2+","Default",1,2018,"0.002-0.00041",6.48649839861311,NA,6.49700744489319,0.0230507411320755,0,0.0315891301886792,0,0,0,0,0.00354651305660377,0,0,0.0324803258113208,0.00336728956603774,0,0,1
"65",2010,"0.65",2,"DA2+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00357583213592233,0,0,0.0332534009708738,0.00351884815533981,0,0,1
"66",2010,"0.65",2,"DA2+","Irvine",1,2018,"0.002-0.00041",6.42742980442976,NA,6.44692353697026,0.0230583558333333,0,0.0316484341666667,0,0,0,0,0.00358802904166667,0,0,0.0328272539583333,0.00356416291666667,0,0,1
"67",2010,"0.65",2,"IDA5+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00354821795918367,0,0,0.0348673775510204,0.00325764055102041,0,0,1
"68",2010,"0.65",2,"IDA5+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00356060714285714,0,0,0.0296620626530612,0.0033853912244898,0,0,1
"69",2010,"0.65",2,"IDA5+/DA2-4","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00354424353846154,0,0,0.0327000938461538,0.00339472784615385,0,0,1
"70",2010,"0.65",2,"IDA5+/DA2-4","Default",1,2018,"0.0012-0.00032",6.49332812992066,NA,6.52537844028124,0.02291801,0,0.0314287490909091,0,0,0,0,0.00352739127272727,0,0,0.0327199089090909,0.00345995149090909,0,0,1
"71",2010,"0.65",2,"IDA5+/DA2-4","Default",1,2018,"0.0016-0.00035",6.46428115795721,NA,6.44117182499106,0.0229894739393939,0,0.0315049963636364,0,0,0,0,0.00355047054545455,0,0,0.0337381860606061,0.00347512672727273,0,0,1
"72",2010,"0.65",2,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.45960823072383,NA,6.42689785410563,0.023034767755102,0,0.0316109048979592,0,0,0,0,0.00357164469387755,0,0,0.0326365286122449,0.0035348599877551,0,0,1
"73",2010,"0.65",2,"IDA5+/DA2-4","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355314048387097,0,0,0.0317356575806452,0.00349336161290323,0,0,1
